W_Vad_Pos,W_Vad_Neg,W_Vad_Neu,W_Vad_Comp,W_BERT_SCORE,W_Polarity,W_Subjectivity,close,change
56.757,181.74,20021.503,-222.4399,18099.63186,-1325.619444,1578.272222,47338.58,1
469.681,262.601,4625.385,618.568,4763.958355,743.9242424,1830.30303,47649.98,1
2460.657,0,11238.343,6182.8506,12236.20893,3832.088889,1645.577778,47549.28,0
66.712,0,4373.288,199.2752,4120.927588,116.5666667,179.3333333,47885.19,1
128.872,21.952,580.176,415.1888,478.8718056,234.6333333,300.6666667,47841.22,0
0,0,0,0,0,0,0,48006.39,1
63.984,111.07,465.946,-16.5745,529.8587049,92.65,325.2,48009.78,1
83712.891,0,190945.109,215041.8928,223949.7961,73012.8875,112681.1583,47603.44,0
97.428,0,327.572,273.8459,359.1630501,164.975,283.75,47979.87,1
376.618,12.972,1487.41,890.9246,1677.790987,108.9208333,200.7833333,48500,1
6.233,0.089,5902.677,21.3318,5416.858116,-531.6013333,3360.643,48570.61,1
1.512,0,19.488,4.4548,18.54180455,0,5.125,48347.04,0
644.411,920.716,57011.216,-1825.3014,54094.12146,6002.922917,9623.158333,48694.09,1
848.862,0,4384.138,2306.2717,4292.81129,21.7,18.6,48598.91,0
79.209,0,4719.791,263.4891,4297.143574,88.1625,302.8875,48171.55,0
1023.047,416.044,3935.909,764.1448,4755.596371,1648,2204.4,48312.63,1
0,0,0,0,0,0,0,47942.57,0
0,0,0,0,0,0,0,47697.62,0
0,0,0,0,0,0,0,48278.85,1
0,0,0,0,0,0,0,48462.28,1
0,0,0,0,0,0,0,49564.77,1
0,0,0,0,0,0,0,49352.41,0
0,0,0,0,0,0,0,49166.94,0
0,0,0,0,0,0,0,49025.76,0
0,0,0,0,0,0,0,49162.36,1
0,0,0,0,0,0,0,49292.58,1
0,0,0,0,0,0,0,49272.19,0
0,0,0,0,0,0,0,49025.43,0
0,0,0,0,0,0,0,48907.36,0
0,0,0,0,0,0,0,49612.2,1
0,0,0,0,0,0,0,48824.88,0
0,0,0,0,0,0,0,49300,1
0,0,0,0,0,0,0,48998.07,0
0,0,0,0,0,0,0,48114.17,0
0,0,0,0,0,0,0,48244.83,1
0,0,0,0,0,0,0,48660.94,1
0,0,0,0,0,0,0,48557.37,0
0,0,0,0,0,0,0,48808.69,1
0,0,0,0,0,0,0,48583.57,0
0,0,0,0,0,0,0,49124.39,1
0,0,0,0,0,0,0,49166.53,1
0,0,0,0,0,0,0,49052.94,0
0,0,0,0,0,0,0,49280.62,1
0,0,0,0,0,0,0,49658.37,1
0,0,0,0,0,0,0,49651.08,0
0,0,0,0,0,0,0,49391.44,0
0,0,0,0,0,0,0,49720.83,1
0,0,0,0,0,0,0,50614.5,1
0,0,0,0,0,0,0,51173.7,1
0,0,0,0,0,0,0,51064.54,0
0,0,0,0,0,0,0,51475.47,1
0,0,0,0,0,0,0,51239.88,0
0,0,0,0,0,0,0,51240.48,1
0,0,0,0,0,0,0,51020.42,0
0,0,0,0,0,0,0,51144.9,1
0,0,0,0,0,0,0,51239.98,1
0,0,0,0,0,0,0,51162.01,0
0,0,0,0,0,0,0,51206.77,1
0,0,0,0,0,0,0,51358.58,1
0,0,0,0,0,0,0,51427.4,1
0,0,0,0,0,0,0,52123.64,1
0,0,0,0,0,0,0,52264.61,1
0,0,0,0,0,0,0,52397.11,1
0,0,0,0,0,0,0,52144.38,0
0,0,0,0,0,0,0,52174.28,1
0,0,0,0,0,0,0,52317.54,1
0,0,0,0,0,0,0,52158.05,0
0,0,0,0,0,0,0,52367.47,1
0,0,0,0,0,0,0,52036.89,0
0,0,0,0,0,0,0,52208.39,1
0,0,0,0,0,0,0,52219.12,1
0,0,0,0,0,0,0,51944.1,0
0,0,0,0,0,0,0,51931.91,0
0,0,0,0,0,0,0,51730.08,0
1.314,0,1206.686,3.9636,1120.777816,61.29318182,270.4522727,51780.54,1
7.101,163.737,59838.162,-523.9651,53062.42751,-19632.37424,26026.14697,51653.41,0
0,0,0,0,0,0,0,51332.13,0
219.209,438.522,8929.269,-623.4125,8615.849882,620.55,2689.05,51453.31,1
258.955,1650.329,16765.716,-3424.4846,17023.95323,-188.9,3206.6,51816.33,1
625.779,0.089,2292.131,1654.8711,2439.024562,1226.732,1295.001333,52268.24,1
3914.198,2427.06,38353.162,8251.9034,41902.18666,36,547,51513.19,0
14.352,32.336,233.312,-44.2772,180.5971317,0,0,52020,1
0,0,0,0,0,0,0,51816.56,0
50.43,7.065,133.505,95.515,154.845235,8.75,22.5,51800,0
1002.072,0,6097.928,2270.1284,6684.807181,269.3,147.9,51745.71,0
5.44,352.32,1088.24,-446.3404,1346.839453,-29.53,711.23,52149.19,1
0,0,20509,0,15699.75408,1486.954545,4870.056818,52043.6,0
1288.978,0,3747.022,3016.9664,3935.3876,2420.5,3616.388889,51897.29,0
1496.585,0.089,7203.325,3831.847,8059.132086,2610.132,3479.901333,51579.54,0
55.899,0,459.101,173.0593,456.2871363,0.3,91.3,51477.7,0
0,0,0,0,0,0,0,51309.2,0
751.556,365.947,60592.497,895.1966,56883.25845,-114.8333333,3164.416667,51231.3,0
464.853,0,5739.147,1244.0097,5760.446397,0.9,2.4,51225.78,0
0,0,0,0,0,0,0,51125.36,0
3381.735,2909.865,20571.4,2023.798,22022.41747,3574.772727,11915.90909,51475.99,1
336.621,181.168,1614.469,632.6718,1960.949148,350.2,782.5,51677.76,1
62.913,0,2886.087,161.1216,2621.19779,95.475,110.55,51722.35,1
1761.996,0,12863.004,4434.4154,11175.32869,831.6541667,636.8,52210.42,1
12.73,0,121.27,39.664,120.4154327,0,0,52662.37,1
110.047,36.314,997.181,328.9269,815.3375859,8.008333333,295.5916667,52672.49,1
9874.423,302.001,61373.576,13279.5193,64560.8765,2121.527778,3433.297222,52692.08,1
0,0,0,0,0,0,0,52522.41,0
1014.164,2.234,11856.601,658.9849,9509.108849,1750.386545,5833.483152,52800.75,1
0,4.14,3810.86,-5.473,3358.469521,176.25,528.75,52894.36,1
21.91,0,6043.09,43.5736,5514.13363,162.5222222,672.9444444,53869.99,1
945.327,434.856,11041.817,889.4176,10687.66606,264.4444444,5223.303704,54371.94,1
803.048,46.339,9799.613,2357.0574,8196.081262,1958.9,4119.575,54797.8,1
34.452,397.16,4625.388,-1091.3359,4204.120613,239.75,957.6,55343.71,1
62.331,0,12936.669,159.6147,11980.39849,0,466,55044.12,0
32046.206,9.307,178929.487,62359.0483,197586.6578,34370.5,42489.9,55387.15,1
4430.305,7.5,25679.195,9630.4611,26964.09007,37.5,75,55662.11,1
632.837,0,6225.163,1593.9823,6251.274999,1305.8,1565.05,55471.8,0
0.663,0,4284.337,1.9791,4007.775078,0,0,55988.58,1
0,0,0,0,0,0,0,56240.66,1
0,0,0,0,0,0,0,56241.78,1
0,0,0,0,0,0,0,56169.4,0
0,0,0,0,0,0,0,55746.8,0
0,0,0,0,0,0,0,55847.84,1
0,0,0,0,0,0,0,55674.29,0
0,0,0,0,0,0,0,55967.02,1
0,0,0,0,0,0,0,55250.66,0
0,0,0,0,0,0,0,55254.34,1
0,0,0,0,0,0,0,55283.01,1
0,0,0,0,0,0,0,55911.49,1
0,0,0,0,0,0,0,56335.67,1
0,0,0,0,0,0,0,57282.5,1
0,0,0,0,0,0,0,57299.38,1
0,0,0,0,0,0,0,56350.36,0
0,0,0,0,0,0,0,56229.67,0
0,0,0,0,0,0,0,56777.38,1
0,0,0,0,0,0,0,57106.47,1
0,0,0,0,0,0,0,57149.51,1
0,0,0,0,0,0,0,57029.08,0
0,0,0,0,0,0,0,56781.23,0
0,0,0,0,0,0,0,56563.67,0
0,0,0,0,0,0,0,55534.62,0
0,0,0,0,0,0,0,55936.04,1
0,0,0,0,0,0,0,55852.13,0
0,0,0,0,0,0,0,56360.3,1
0,0,0,0,0,0,0,56346.85,0
0,0,0,0,0,0,0,56545.31,1
0,0,0,0,0,0,0,56727.39,1
0,0,0,0,0,0,0,56573.08,0
0,0,0,0,0,0,0,56531.56,0
0,0,0,0,0,0,0,56100.13,0
0,0,0,0,0,0,0,56569.98,1
0,0,0,0,0,0,0,56848.38,1
0,0,0,0,0,0,0,57545.87,1
0,0,0,0,0,0,0,57318.59,0
0,0,0,0,0,0,0,56941.63,0
0,0,0,0,0,0,0,57198.45,1
0,0,0,0,0,0,0,57424.5,1
0,0,0,0,0,0,0,57366.2,0
0,0,0,0,0,0,0,57745,1
0,0,0,0,0,0,0,57548.84,0
0,0,0,0,0,0,0,58192.79,1
0,0,0,0,0,0,0,58114.05,0
0,0,0,0,0,0,0,57716.15,0
0,0,0,0,0,0,0,57351,0
0,0,0,0,0,0,0,57376.47,1
0,0,0,0,0,0,0,57492.91,1
0,0,0,0,0,0,0,56295.23,0
0,0,0,0,0,0,0,56900,1
0,0,0,0,0,0,0,56892.77,0
0,0,0,0,0,0,0,55913.83,0
0,0,0,0,0,0,0,55879.27,0
0,0,0,0,0,0,0,55823.75,0
0,0,0,0,0,0,0,56052.85,1
168.182,0,405.818,378.6678,285.6449573,133.9333333,215.25,56479.27,1
0,0,4342,0,3818.531368,0,0,55474.34,0
238.56,0,1150.44,570.3711,1131.532644,520.5,556.5,54709.45,0
8592.007,16504.071,36716.922,-23600.2034,45346.78072,0,0,54850,1
3567.825,336,44216.175,6701.3724,44552.67978,8181.376667,16051.50667,54497.67,0
79485.348,0,714685.652,281428.6588,676294.0186,31008.3619,316593.2286,53734.51,0
1215.038,230.31,7218.548,2162.0034,7646.740053,-424.8712121,732.6038961,51923.28,0
945.007,0,48717.993,2630.2919,44510.05982,2896.4,9805.116667,53697.75,1
171.629,452.413,2962.791,-1163.036,2982.839429,21.96666667,181.75,53302.71,0
0,205.041,4765.959,-702.6405,4441.006194,1652,1652,53207.59,0
69.003,0,2463.997,116.8563,2341.403434,187,187,52057.33,0
229.734,18.688,872.578,525.3648,763.3196545,371.2952381,451.8619048,53240.21,1
119.232,0,23615.768,476.0343,21855.52343,351,2481.1,53641.93,1
2.7,0,18143.3,6.687,17072.20282,1.95,3,53889.55,1
2152.424,367.699,76207.786,4751.9383,73677.74679,1862.422727,2106.009091,54950.58,1
51.021,39.591,26905.911,56.5647,24458.71802,2031.927273,11740.59091,54115.38,0
22.5,498.076,1653.424,-1539.144,1549.307428,3,2093,54173.65,1
0,0,0,0,0,0,0,53476.62,0
0,0,0,0,0,0,0,52546.15,0
0,0,0,0,0,0,0,51194.93,0
0,0,0,0,0,0,0,51836.17,1
0,0,0,0,0,0,0,50746.29,0
0,0,0,0,0,0,0,49954.39,0
0,0,0,0,0,0,0,49596.26,0
0,0,0,0,0,0,0,49666,1
0,0,0,0,0,0,0,46522.87,0
0,0,0,0,0,0,0,48078.87,1
0,0,0,0,0,0,0,47500,0
0,0,0,0,0,0,0,46388.22,0
0,0,0,0,0,0,0,48670.34,1
0,0,0,0,0,0,0,48778.19,1
0,0,0,0,0,0,0,46921.82,0
0,0,0,0,0,0,0,48568,1
0,0,0,0,0,0,0,47264.38,0
0,0,0,0,0,0,0,47116.37,0
0,0,0,0,0,0,0,46864.91,0
0,0,0,0,0,0,0,45503.1,0
0,0,0,0,0,0,0,47846.57,1
0,0,0,0,0,0,0,47993.29,1
0,0,0,0,0,0,0,48700,1
0,0,0,0,0,0,0,48887.93,1
0,0,0,0,0,0,0,48517.93,0
0,0,0,0,0,0,0,50206.74,1
0,0,0,0,0,0,0,50202.83,0
0,0,0,0,0,0,0,50939.95,1
0,0,0,0,0,0,0,50650.54,0
0,0,0,0,0,0,0,50245.64,0
0,0,0,0,0,0,0,50109.14,0
0,0,0,0,0,0,0,50060.64,0
0,0,0,0,0,0,0,50700.14,1
0,0,0,0,0,0,0,50889.26,1
0,0,0,0,0,0,0,50115.03,0
0,0,0,0,0,0,0,50381.65,1
0,0,0,0,0,0,0,50709.43,1
0,0,0,0,0,0,0,49494.86,0
0,0,0,0,0,0,0,49432.76,0
0,0,0,0,0,0,0,49839.86,1
0,0,0,0,0,0,0,49371.52,0
0,0,0,0,0,0,0,50095.83,1
0,0,0,0,0,0,0,49618.4,0
0,0,0,0,0,0,0,48991.68,0
